First name,Sur name,Issue count,Date of birth
Osbert,Goodisson,33,11/5/2018
Barr,Meader,81,11/25/2018
Kerrin,Gilhouley,71,8/1/2019
Joli,Masters,79,7/11/2019
Rem,Baggott,44,9/25/2019
Gary,Hopfer,34,10/21/2019
Anya,Jumont,45,10/23/2019
Cristiano,Wallach,34,6/19/2019
Dayle,Maroney,2,9/22/2019
Bernard,Feedome,90,2/11/2019
Rooney,Proctor,35,3/22/2019
Patric,Iglesiaz,35,7/25/2019
Cleve,Greatbanks,7,10/7/2019
Alexi,Longbothom,61,6/13/2019
Auberta,Greenmon,16,10/14/2019
Winnah,Clixby,24,6/7/2019
Jennine,Cough,45,10/10/2019
Maison,Glidden,19,5/9/2019
Elaine,Rable,9,6/2/2019
Charlot,Coombes,21,5/23/2019
Lilia,Reditt,45,3/19/2019
Olag,Farnhill,19,12/31/2018
Elroy,Adess,64,1/2/2019
Anastasia,Bissett,73,4/7/2019
Kari,Renzini,73,7/18/2019
Liuka,Snelgar,40,1/30/2019
Constancia,Mablestone,32,6/24/2019
Creigh,Absolem,66,5/14/2019
Jade,Skyme,91,2/28/2019
Baryram,MacSherry,60,5/31/2019
Milzie,Berkley,8,10/14/2019
Brana,Stein,38,8/2/2019
Garek,Le Batteur,23,1/30/2019
Persis,McWaters,33,12/21/2018
Rina,Edgell,86,5/18/2019
Nikolos,Gower,75,2/3/2019
Bella,Lawrey,91,8/17/2019
Arlyne,Bullman,44,2/16/2019
Ebony,Sand,58,10/11/2019
Ranice,Culley,40,4/17/2019
Abby,Croney,94,12/1/2018
Elise,Aicheson,39,12/25/2018
Orly,Scobbie,60,4/22/2019
Meg,MacDearmid,35,4/29/2019
Townsend,Lumbers,40,6/25/2019
Vyky,Gissop,29,9/23/2019
Nehemiah,Jillard,21,9/14/2019
Joanne,Cassel,64,11/13/2018
Samaria,Croney,11,11/18/2018
Jillana,Duggleby,58,4/16/2019
Zacharie,Demeza,99,10/23/2019
Kip,Oats,62,5/3/2019
Garv,Burchard,70,9/6/2019
Tadeas,Dwelly,48,10/1/2019
Suzanne,Wigginton,57,12/15/2018
Arlana,Jacob,67,1/2/2019
Eimile,Stain,57,5/7/2019
Mariya,Weond,49,5/19/2019
Becky,Roswarne,53,7/14/2019
Carmine,Vears,45,12/19/2018
Maggee,Stiggles,20,3/6/2019
Verena,Taffarello,37,11/13/2018
Farris,Petruszka,73,12/7/2018
Dannel,Attow,98,4/14/2019
Phebe,Gabites,40,12/29/2018
Lucias,Hawick,41,9/16/2019
Dollie,Fowkes,11,9/25/2019
Vivie,Capponeer,75,12/14/2018
Kelcy,Armfirld,1,5/13/2019
Raoul,Flippelli,79,6/16/2019
Oran,Rattery,4,6/1/2019
Ardelis,Vedstra,84,10/5/2019
Doralin,Mushawe,24,11/27/2018
Theressa,Umbers,68,5/4/2019
Orelle,Kettlesting,42,9/4/2019
Edgardo,Burnham,26,7/28/2019
Tanhya,Hardacre,82,3/8/2019
Caril,Phebey,86,7/24/2019
Niven,Shawl,58,11/21/2018
Donnie,Ramelet,91,1/16/2019
Glyn,Grundell,12,8/5/2019
Oliy,Renhard,75,2/22/2019
Skippy,Pendell,44,3/7/2019
Cart,Mossom,96,10/17/2019
Yvor,Kenninghan,82,3/29/2019
Cecilla,Du Barry,62,10/27/2019
Lynnette,Orbell,21,12/16/2018
Thorvald,Gauntlett,73,10/2/2019
Hillier,Shefton,61,7/4/2019
Frederick,Leakner,8,9/6/2019
Carl,Jone,71,6/18/2019
Gertruda,Townsley,76,4/25/2019
Fedora,Connop,8,7/14/2019
Carry,Gedling,40,6/3/2019
Adolf,Robottom,76,9/22/2019
Husain,Toomey,14,1/20/2019
Cher,Nattrass,18,2/8/2019
Irwin,Bickerstasse,71,2/3/2019
Hollie,Markussen,93,10/24/2019
Livia,Handslip,4,10/16/2019
Eustacia,Goseling,6,4/22/2019
Lura,Hagger,85,12/12/2018
Noelle,Rustich,35,4/5/2019
Garner,Baraclough,18,6/27/2019
Klaus,Neve,41,10/8/2019
Elvera,Learoyd,33,5/28/2019
Dorry,Sommerland,84,10/20/2019
Teriann,Eager,19,4/1/2019
Aldwin,Godilington,9,9/19/2019
Shay,Lagne,69,1/7/2019
Laurens,Langsbury,41,7/4/2019
Colin,Joicey,76,12/11/2018
Hollyanne,Fulstow,95,4/16/2019
Mariya,Mahmood,60,2/18/2019
Nikola,Poyner,98,4/7/2019
Daryle,Benger,11,9/11/2019
Omar,McQuaide,49,2/19/2019
Sterling,McEntegart,1,11/3/2018
Kamillah,Barbier,92,6/9/2019
Gay,Glenwright,90,3/12/2019
Magnum,Blakelock,79,6/29/2019
Jessie,Rentz,32,8/24/2019
Adolphus,O'Sharkey,79,11/17/2018
Maddy,Choudhury,54,11/13/2018
Bernardina,Beden,30,10/10/2019
Carla,Strainge,39,2/22/2019
Manny,Becaris,66,7/26/2019
Zara,Grangier,32,8/17/2019
Moise,Rannigan,65,3/11/2019
Rriocard,Bartosinski,98,4/7/2019
Vallie,McVeighty,4,10/4/2019
Terry,Emmins,97,5/30/2019
Rozelle,McKeighen,54,11/30/2018
Samuel,Liggons,80,6/7/2019
Adrian,Benitez,14,9/28/2019
Jewell,Hilland,57,3/11/2019
Oneida,Whelband,93,1/23/2019
Rosabella,Worboys,11,4/23/2019
Shamus,Orpen,37,12/4/2018
Tracy,Blasing,30,11/8/2018
Helen,Eyton,9,5/17/2019
Sanders,Quimby,38,8/3/2019
Nolana,Andrei,71,1/16/2019
Pren,Hurdiss,58,3/31/2019
Abbi,Howland,36,10/11/2019
Jaclin,Klementz,60,9/15/2019
Marlene,Heugle,21,5/22/2019
Zahara,Hirth,35,6/30/2019
Woodrow,Iskov,73,11/23/2018
Hardy,Guillard,57,8/23/2019
Hedwiga,Sneden,11,6/12/2019
Burg,Boorman,91,9/22/2019
Marnia,Meineking,38,7/7/2019
Brew,Fake,66,6/12/2019
Ingar,Uff,47,6/26/2019
Aldric,Martinelli,62,11/1/2018
Valerye,Shynn,51,11/1/2018
Kellby,Sappell,60,5/29/2019
Rubia,Cadding,93,3/9/2019
Shawn,Lochet,29,9/26/2019
Benn,Matten,74,11/1/2018
Bernadine,Hustler,98,3/30/2019
Audie,Robe,45,8/30/2019
Dorey,Harmour,78,12/19/2018
Nil,Drewery,23,5/24/2019
Elianora,McIlriach,68,6/29/2019
Audy,Aldridge,59,6/25/2019
Mauricio,Danzig,43,5/12/2019
Magdalena,Yakovitch,41,8/14/2019
Benjamin,Trinke,13,2/20/2019
Stephani,Parramore,2,9/25/2019
Adrea,Heskin,86,10/7/2019
Gabrielle,Ullock,54,5/31/2019
Cristiano,McGenis,30,2/22/2019
Cherianne,Baiyle,31,6/21/2019
Brittaney,Dincke,22,7/9/2019
Marja,Lethabridge,25,8/28/2019
Ethyl,Franschini,4,10/31/2018
Bronson,Mickan,6,3/1/2019
Dagmar,Ind,1,4/10/2019
Gizela,Melville,54,12/16/2018
Marrissa,Passion,4,12/6/2018
Ashley,Barizeret,83,2/4/2019
Madelena,Huntar,48,8/31/2019
Sloan,Kellough,94,7/15/2019
Shae,Avesque,29,1/24/2019
Ysabel,Crossgrove,22,6/19/2019
Jody,Szymanski,81,7/11/2019
Grantham,Bauldrey,46,11/12/2018
Corty,Dahler,95,9/6/2019
Dita,Caddens,2,12/23/2018
Mattie,Beville,54,4/26/2019
Joella,Cudworth,25,3/9/2019
Wes,McGray,58,1/14/2019
Pooh,Hundal,18,1/8/2019
Caleb,Lang,79,9/8/2019
Chere,Poleykett,5,2/2/2019
Yuri,Ewington,77,12/15/2018
Maxy,Riddett,48,4/5/2019
Ardyth,Choffin,51,11/22/2018
Ashly,Gilffilland,34,10/22/2019
Brianne,Whoston,89,7/29/2019
Gerladina,Sharpling,70,3/5/2019
Sheridan,Squire,49,6/23/2019
Freddy,Elverstone,32,8/16/2019
Jillie,Hutcheon,100,5/27/2019
Mick,Curgenuer,33,3/30/2019
Skip,Bolino,26,5/3/2019
Hayden,Sprake,40,3/1/2019
Davidde,Drinkel,87,11/2/2018
Vivyan,Heisham,96,6/25/2019
Petr,Coultass,38,12/9/2018
Billy,Renahan,61,7/1/2019
Jobey,Langrick,100,10/9/2019
Zitella,Peaple,54,5/4/2019
Derrick,Gillespey,100,8/22/2019
Grady,Caghy,24,4/15/2019
Pepillo,Calverd,88,10/3/2019
Worden,Rief,25,8/18/2019
Shawn,Libbis,54,1/30/2019
Noni,Moraleda,87,10/1/2019
Mikaela,Jorczyk,25,1/10/2019
Brittney,Pehrsson,14,1/24/2019
Aloysius,Andres,22,7/4/2019
Shirline,Minister,50,6/16/2019
Weston,Matejka,58,7/24/2019
Leann,Keetley,18,4/16/2019
Katine,Sweetman,48,4/13/2019
Jerrome,Vennings,60,7/2/2019
Gauthier,Hastin,64,4/24/2019
Marty,Allbrook,28,2/15/2019
Ettore,Kuhlmey,54,9/5/2019
Lee,Britton,8,12/28/2018
Horten,Goodfield,4,5/16/2019
Waly,Dew,44,9/15/2019
Perri,Hamlett,4,8/11/2019
Antonius,Deevey,88,12/7/2018
Justis,Entwhistle,49,5/23/2019
Karla,Maides,55,9/21/2019
Quill,Tolputt,82,1/1/2019
Jonathan,Greaves,59,7/25/2019
Ulberto,Impleton,100,4/8/2019
Isabel,Hasker,55,1/3/2019
Giselle,Rate,69,7/19/2019
Emmalynn,Faussett,4,6/21/2019
Dimitry,Kynder,82,10/6/2019
Kahaleel,Rodenburg,95,4/14/2019
Othello,Jessope,61,1/24/2019
Ddene,Lindenfeld,85,1/2/2019
Chas,Kopec,56,3/31/2019
Corri,Clemenceau,48,6/4/2019
Deedee,Tommasi,56,11/18/2018
Hillyer,Hardaker,24,2/20/2019
Chico,Hehir,100,4/18/2019
Tedmund,Pichan,83,4/16/2019
Krissy,Northley,72,12/24/2018
Murdoch,Bellin,47,11/23/2018
Ethelind,Fisby,10,3/20/2019
Rube,Bearcroft,54,1/14/2019
Helena,Crossdale,89,6/20/2019
Umeko,Punshon,61,3/31/2019
Mathias,Crannell,94,2/9/2019
Ewart,Durgan,54,3/9/2019
Robyn,Antonescu,9,5/15/2019
Florence,Weinberg,27,10/31/2018
Tiff,Gieraths,9,9/19/2019
Radcliffe,Stadden,17,9/15/2019
Carie,Villa,21,6/27/2019
Leoline,Topaz,71,7/10/2019
Berne,Sheppard,26,4/25/2019
Harp,Camden,74,9/4/2019
Kincaid,Kharchinski,65,3/14/2019
Brandise,Whetton,16,8/10/2019
Britte,Jepperson,91,11/23/2018
Mar,Surgison,10,11/24/2018
Christabel,Elsby,30,8/14/2019
Sherye,Conniam,69,3/14/2019
Rosamond,Simmell,99,9/19/2019
Fancie,Arbor,93,2/20/2019
Trefor,Hasell,27,11/26/2018
Olvan,Blueman,96,5/26/2019
Krishnah,Muehler,75,2/24/2019
Siffre,Carlill,75,1/26/2019
Colly,Crippell,17,4/28/2019
Fifine,Rickhuss,19,11/5/2018
Olvan,Tudhope,84,12/16/2018
Ellette,McKeller,84,3/6/2019
Adaline,Morrant,78,7/29/2019
Ursula,Moizer,43,5/8/2019
Leone,Burchmore,9,3/31/2019
Matilda,De La Hay,18,7/1/2019
Duncan,Snewin,96,3/12/2019
Karrah,Bleesing,89,11/4/2018
Hube,Ravenshear,3,1/29/2019
Colman,Niesel,36,11/23/2018
Kippy,Dutnall,61,2/28/2019
Aleece,Corten,13,3/3/2019
Sidoney,Ackenhead,69,2/24/2019
Eadith,Anfossi,41,3/12/2019
Simone,Pioch,27,1/20/2019
Erminia,Ciotti,56,1/14/2019
Vinnie,Andreasen,25,7/12/2019
Angy,Ricco,61,11/30/2018
Malena,Floweth,3,8/16/2019
Kristien,O'Kane,76,8/13/2019
Vivien,Bunclark,62,1/18/2019
Marco,Greveson,75,6/14/2019
Rica,D'Agostini,69,7/1/2019
Curr,Riddeough,33,2/8/2019
Deanna,Joffe,42,7/24/2019
Hollis,Featherstonhaugh,17,11/29/2018
Carolin,Sidry,10,11/20/2018
Lorrie,Tutton,80,4/19/2019
Lammond,Dench,82,9/16/2019
Ingeberg,Duffree,41,9/8/2019
Maye,Markwell,90,11/16/2018
Roderic,Bavester,7,4/16/2019
Zea,Hawyes,99,2/14/2019
Mae,Dwelly,1,4/22/2019
Ebba,Skylett,64,8/20/2019
Mar,Jonah,26,4/17/2019
Robbie,Corrington,12,8/8/2019
Danice,Ponceford,49,3/7/2019
Nels,Squibbes,58,9/22/2019
Adrian,Sloat,3,8/27/2019
Feodor,Lammie,7,4/27/2019
Reilly,Hallbord,98,1/3/2019
Hercule,Routh,17,8/12/2019
Bari,MacGillreich,32,8/28/2019
Hermina,Serot,81,2/27/2019
Constantia,Kembley,74,3/21/2019
Kin,Mityushkin,25,2/21/2019
Langsdon,Kubik,17,10/24/2019
Patrice,Champagne,94,9/1/2019
Stephan,McDermott,47,6/4/2019
Lavinie,McAlister,46,10/8/2019
Tiffanie,Hallor,48,11/7/2018
Appolonia,Phillins,37,4/23/2019
Lula,Irnis,3,10/27/2019
Urbano,Jerdon,80,4/17/2019
Karoline,Town,95,6/9/2019
Carmencita,Kindall,51,7/16/2019
Hailee,Kornas,85,3/31/2019
Karlie,Melton,73,3/3/2019
Farly,Mc Mechan,93,6/3/2019
Gilles,Deedes,29,3/28/2019
Goran,Welfair,28,8/27/2019
Nikaniki,Chipping,53,10/11/2019
Andria,Salzen,46,2/18/2019
Dannye,Dawtre,11,2/18/2019
Lamond,Tryme,96,5/13/2019
Joyous,Raw,88,11/5/2018
Kin,Petegree,75,4/7/2019
Hyacinthia,Emblen,1,9/13/2019
Viki,Gress,94,11/24/2018
Derrick,Cawkill,74,9/27/2019
Mame,Peacocke,31,11/16/2018
Timi,Scrimgeour,40,6/11/2019
Merwyn,Cayle,55,11/30/2018
Goddard,Ottawell,76,1/11/2019
Roderigo,Golly,99,4/4/2019
Eugenie,Barham,91,3/18/2019
Minnnie,Piburn,75,10/3/2019
Chrissie,Nice,2,10/8/2019
Caz,Stringman,51,3/27/2019
Brady,Speake,59,2/11/2019
Richmond,Masterman,92,2/26/2019
Erda,Viccars,67,4/4/2019
Jayme,Deabill,45,7/21/2019
Renado,Veel,62,5/1/2019
Olvan,Barney,62,5/7/2019
Lissie,Hanssmann,5,12/20/2018
Bentlee,Stilgoe,50,5/9/2019
Virgie,Mechem,3,11/1/2018
Camile,Klejna,53,9/16/2019
Ash,Blowfelde,84,9/19/2019
Yetta,Locks,98,1/25/2019
Debbi,Calbaithe,63,1/26/2019
Feodora,Tease,79,5/9/2019
Corbet,Kerman,43,7/21/2019
Dalt,Clement,92,1/14/2019
Aurora,Johncey,38,6/19/2019
Xymenes,Taillard,22,5/16/2019
Therese,Manchett,34,12/5/2018
Jessalyn,Mundy,61,7/1/2019
Lusa,Matiashvili,69,11/1/2018
Kriste,Balcombe,87,11/20/2018
Gerome,Floyed,6,5/13/2019
Aurea,Langcaster,44,5/17/2019
Danya,Dengel,99,2/5/2019
Estele,Drover,92,11/5/2018
Seth,Garie,15,12/18/2018
Torrance,Draper,36,1/24/2019
Susan,Eam,54,1/27/2019
Willdon,Ezele,98,6/5/2019
Jonathan,Bolley,80,8/31/2019
Jocelyne,Cheves,18,4/22/2019
Deck,Heindrick,78,5/25/2019
Ailbert,Atwood,30,7/15/2019
Beatrice,Morgon,59,11/29/2018
Herby,Boys,25,6/29/2019
Aube,Gaskall,66,7/1/2019
Billy,Todaro,1,11/16/2018
Terri,Zotto,36,11/3/2018
Wilhelmine,Roisen,66,11/29/2018
Sebastien,Buxton,11,4/28/2019
Allyn,Castrillo,42,11/12/2018
Anselma,MacAlaster,34,2/17/2019
Shaun,Wheble,39,6/15/2019
Wayne,Callow,24,1/3/2019
Teresita,Feldhorn,70,2/23/2019
Nada,Brandino,10,4/24/2019
Timmy,Rope,69,7/4/2019
Rochella,Milthorpe,21,11/10/2018
Pat,Tommasuzzi,72,4/2/2019
Clemmy,Caswall,18,12/12/2018
Lemmy,Olechnowicz,15,7/25/2019
Jeffie,Le Pruvost,57,10/18/2019
Babb,Crofts,29,11/5/2018
Steffie,Cordaroy,34,4/5/2019
Alleyn,Greiser,18,1/13/2019
Pat,Cooley,45,1/20/2019
Delly,Houseman,8,5/26/2019
Lennard,Spaldin,31,11/20/2018
Kelsi,Randales,67,11/11/2018
Pauly,Latan,76,10/30/2018
Shantee,Somers,70,12/1/2018
Ddene,Rangeley,45,4/14/2019
Mariele,Ashton,83,2/16/2019
Jose,Spini,88,11/8/2018
Nadean,Dell Casa,29,4/13/2019
Quinlan,Simao,99,6/7/2019
Lelah,Taberner,5,2/12/2019
Briggs,Lassetter,4,7/22/2019
Cordelie,Isard,50,7/8/2019
Nannette,Broschke,89,3/18/2019
Alano,Braisted,3,5/30/2019
Padriac,Rootham,70,8/14/2019
Karisa,Herries,23,9/17/2019
Jeremias,Moff,71,8/16/2019
Pamelina,Frearson,69,11/8/2018
Cristobal,Kirkam,86,9/24/2019
Phil,Isoldi,61,12/26/2018
Cally,Hubbart,22,8/20/2019
Daffie,Fagan,41,10/3/2019
Lacey,Saunders,12,1/24/2019
Doroteya,Freckelton,87,7/28/2019
Barbie,Jochanany,87,5/27/2019
Federica,Royse,67,2/21/2019
Charity,Elliott,15,8/15/2019
Adelice,Najara,63,11/11/2018
Winn,Olenchenko,74,3/12/2019
Eddie,Brothwell,7,3/31/2019
Rhonda,Seed,28,6/24/2019
Lyndy,Adamthwaite,2,8/9/2019
Lewes,Brimblecomb,42,8/25/2019
Trina,Crosse,70,12/28/2018
Ty,Moncrieffe,94,10/29/2019
Darill,Bassil,62,10/2/2019
Tandie,Lilley,90,3/9/2019
Mela,Draysay,35,1/23/2019
Viviana,Terbeek,30,2/5/2019
Adham,Money,97,7/6/2019
Marylou,Schleswig-Holstein,1,10/13/2019
Nick,Fleote,51,2/23/2019
Elianora,Guitel,82,5/12/2019
Larina,Halshaw,52,9/3/2019
Corbin,Caiger,96,10/23/2019
Kimball,Meates,9,6/10/2019
Courtney,Boys,49,5/21/2019
Inesita,Badini,16,3/31/2019
Derk,Gibbetts,88,7/10/2019
Karita,Lowing,83,9/24/2019
Leroy,Swayton,90,9/23/2019
Franni,Damant,82,11/1/2018
Leicester,Shapera,33,5/23/2019
Gabriela,Canete,29,5/10/2019
Andonis,Annott,57,8/22/2019
Stacie,Isham,59,10/5/2019
Mignonne,Posselow,85,1/6/2019
Muffin,Olczyk,76,7/2/2019
Edythe,Chaloner,51,7/22/2019
Elisa,Fesby,75,6/23/2019
Alec,Clerke,2,3/7/2019
Graig,Coultous,85,5/7/2019
Wylma,Bickford,32,8/30/2019
Misha,Sellar,9,1/28/2019
Bat,Lathom,79,8/5/2019
Barbie,Stoeck,82,1/11/2019
Sal,Camelia,53,4/19/2019
Kerk,McKenney,54,2/4/2019
Rahal,Reedman,69,1/9/2019
Clarabelle,Barkus,60,2/12/2019
Adelheid,Jeffry,54,11/30/2018
Tully,Ghidini,18,12/18/2018
Loralie,Mackett,5,7/2/2019
Enoch,Caban,43,5/30/2019
Marjory,Sargeaunt,3,11/27/2018
Peria,Dufaur,57,12/26/2018
Gabbi,Imesen,65,2/1/2019
Shawna,Chambers,30,1/4/2019
Olivia,Cassley,93,12/15/2018
Pincas,Dallison,1,9/3/2019
Lonnie,Mace,55,9/26/2019
Ermanno,Kerfod,45,6/23/2019
Nisse,Dearnley,49,2/13/2019
Corly,MacGray,6,1/11/2019
Gennifer,Hattersley,73,6/6/2019
Saba,Du Barry,21,6/9/2019
Paxton,McDaid,62,9/23/2019
Paolo,Mcettrick,67,9/27/2019
Ericka,Minihan,14,7/2/2019
Cristobal,Izzat,93,1/12/2019
Lishe,Thorlby,83,1/17/2019
Lonnard,Delve,71,6/3/2019
Seka,Probets,83,4/1/2019
Anet,Foli,55,9/13/2019
Wren,McKibben,99,9/30/2019
Ninetta,Seccombe,27,5/5/2019
Mona,Lewton,2,9/5/2019
Noll,Goodright,48,8/14/2019
Bernetta,Hairs,13,2/6/2019
Cullin,Cockroft,25,4/14/2019
Martha,Pammenter,9,9/17/2019
Basilius,Runge,53,4/6/2019
Thane,Batham,3,6/17/2019
Maureen,Bardell,43,10/31/2018
Chloris,Chartres,24,4/28/2019
Biron,Stork,48,7/3/2019
Madalena,Severy,5,10/26/2019
Emilia,Doul,9,10/5/2019
Monte,Sex,9,1/22/2019
Stern,Cordery,41,7/3/2019
Bertrando,Shellum,69,6/29/2019
Raimundo,Ecclestone,49,10/14/2019
Hort,Stetson,43,3/1/2019
Lucretia,Wehnerr,1,7/12/2019
Roselle,Lichtfoth,86,3/1/2019
Malissia,Schruyers,8,12/3/2018
Marina,Eallis,63,8/17/2019
Sonnie,Freyne,34,11/22/2018
Baird,Della,89,8/19/2019
Dominique,Janek,29,5/18/2019
Christopher,Dirr,5,10/30/2018
Bradley,Jagiello,19,1/17/2019
Conny,Lawday,41,11/22/2018
Bobinette,Dyster,91,2/10/2019
Ivor,Markovich,91,11/7/2018
Hobard,Lain,33,4/15/2019
Fanya,O'Lagen,33,4/13/2019
Yolane,Rainbird,3,8/31/2019
Tremain,Woolward,29,5/11/2019
Nicolai,Beckford,69,6/9/2019
Dodie,Cokayne,45,2/12/2019
Ruperta,Ranger,12,12/23/2018
Timmy,Orta,76,10/21/2019
Louis,Amies,84,7/6/2019
Darin,Laurenson,97,6/26/2019
Will,Olufsen,31,1/1/2019
Morry,Glassman,8,12/27/2018
Malachi,Grunwall,38,1/29/2019
Carmel,Hache,97,10/23/2019
Brandy,Rue,54,10/21/2019
Cilka,McNess,81,9/2/2019
Quint,Pickover,6,4/9/2019
Dal,Hedney,71,5/1/2019
Elsey,Ockland,50,9/4/2019
Helenelizabeth,Dearnly,54,1/16/2019
Tiffanie,Le Brom,52,1/27/2019
Orson,Fargher,92,5/10/2019
Tyne,Dannohl,77,5/13/2019
Wilbert,Ollier,16,11/26/2018
Marcello,O'Howbane,77,1/19/2019
Bethany,Twittey,65,1/26/2019
Juline,Gadesby,33,2/25/2019
Lezlie,Bycraft,50,3/25/2019
Shurwood,Dullard,98,1/21/2019
Robb,Backes,57,10/13/2019
Cherilynn,Sellar,82,3/17/2019
Adamo,Augar,6,8/4/2019
Mark,McCane,11,7/25/2019
Tori,MacAne,87,5/30/2019
Robinetta,Mechan,17,4/10/2019
Karole,Vassie,65,8/25/2019
Vania,Boyington,97,1/4/2019
Lalo,Ortsmann,13,12/22/2018
Michel,Verryan,94,12/11/2018
Spencer,Briskey,74,8/20/2019
Maggee,Simeon,50,7/17/2019
Ingmar,Sunock,57,6/2/2019
Garrot,De Gouy,50,7/29/2019
Selig,Arnholz,3,5/18/2019
Kenyon,McGinnis,11,10/2/2019
Ingaborg,Canedo,79,6/16/2019
Giulia,Sawfoot,52,1/21/2019
Curry,Juschka,20,9/12/2019
Sula,Laven,51,5/10/2019
Darnall,Poluzzi,1,12/7/2018
Florrie,Terese,80,5/3/2019
Leicester,Hammant,35,8/30/2019
Mackenzie,Aisthorpe,21,7/25/2019
Gal,Karet,86,4/1/2019
Staffard,Strelitzki,57,3/22/2019
Maury,Landsborough,27,11/4/2018
Kayley,Conquer,4,5/24/2019
Adiana,Morse,26,7/16/2019
Lorens,Skelhorne,96,8/25/2019
Bengt,Rintoul,55,9/24/2019
Sargent,Arnholz,87,8/4/2019
Joeann,Robberecht,100,8/20/2019
Agnesse,Blasing,65,1/22/2019
Larisa,Fetherston,79,11/28/2018
Thaxter,Rolse,70,9/21/2019
Maighdiln,Crudgington,53,3/2/2019
Corilla,Siney,73,10/29/2019
Leonard,Leworthy,85,12/25/2018
Mitchell,Nisbet,34,4/7/2019
Efren,Gibbie,66,4/21/2019
Anna,Dunsire,41,5/7/2019
Tyson,Perham,75,4/27/2019
Mufinella,Bellanger,41,10/24/2019
Sandie,Keysall,48,3/6/2019
Gleda,Gealle,59,5/14/2019
Atlanta,McFall,9,5/16/2019
Hurlee,Ollerenshaw,96,7/15/2019
Martha,Channing,52,7/11/2019
Gavin,Laite,59,6/1/2019
Andria,Yekel,53,1/7/2019
Jonas,Befroy,59,11/19/2018
Griffy,Barbie,60,8/28/2019
Ingra,Bristow,30,9/6/2019
Tasha,Neylon,11,2/24/2019
Way,Dockrey,25,3/18/2019
Opal,Burgne,1,7/23/2019
